lon,lat
-82.2544302,34.93712190000001
-82.3153907,34.77567440000001
-80.94386279999999,34.0819025
-80.1620087,32.9652526
-82.4203828,34.8110438
-82.9544232,34.6922247
-82.98679039999999,34.696443
-82.9821181,34.669666
-80.86735569999999,33.501252
-81.75832199999999,34.8964298
-80.38366300000001,34.7770947
-79.8852095,34.7010944
-81.0327119,34.0291696
-81.0283087,34.0300208
-81.03097389999999,34.0292442
-80.3639736,33.9193042
-81.1623486,34.0988253
-81.28400169999999,33.9813059
-80.8532227,34.1150642
-80.97567629999999,34.2138045
-81.039585399999993,34.028412
-81.0263497,34.9748238
-80.7150666,32.2190388
-79.0096289,33.783061
-80.0677925,32.9751308
-81.7624003,33.568967
-82.0137678,34.935284
-80.939345,32.2907164
-80.0752421,32.9778334
-79.9225258,33.4034508
-80.1749949,33.0280985
-79.95633939999999,33.2999168
-80.1702608,32.9733405
-80.0752629,32.9777476
-80.1694933,33.0302431
-80.1737745,33.0270031
-80.1688286,33.0236493
-80.01313739999999,33.1960027
-80.1138754,32.9164335
-80.0870758,33.0192686
-80.05187699999999,33.0102407
-81.1096393,32.8694269
-80.67247689999999,32.9191477
-80.1600996,32.9613666
-80.0616436,32.976737
-82.4753266,34.7825632
-82.2541802,34.7060908
-82.32950699999999,34.824658
-81.99481089999999,34.9203574
-82.2332646,34.8104753
-82.22541729999999,34.938238
-79.7797183,32.8759336
-79.9994264,32.7838418
-79.90419729999999,32.8564024
-81.66617289999999,33.8467254
-82.246622,34.9183836
-81.0136374,34.0162968
-80.75322729999999,34.147034
-80.5929386,34.2535488
-82.6037865,34.83832160000001
-79.7628061,34.1954881
-79.83884859999999,34.1721259
-79.83884859999999,34.1721259
-82.29490179999999,34.722064
-81.9441899,34.9925206
-82.4869396,34.7887134
-82.23631329999999,34.9433377
-82.3242051,34.8540081
-82.62871439999999,34.5453522
-81.94413689999999,34.9923427
-81.52957409999999,33.9136992
-81.60648359999999,34.2884497
-79.7591324,33.8824306
-79.44364929999999,33.8017337
-79.972359,32.7557637
-81.2412889,33.769922
-82.70770139999999,34.8704887
-82.629014,34.5455558
-82.4702563,34.699027
-82.1925735,34.2717996
-81.9397867,34.4834075
-81.3230799,34.2416575
-79.9461609,32.7890578
-81.0033938,34.0151431
-80.02647730000001,32.8070537
-80.0519557,33.0102712
-80.6857332,32.3996498
-82.4881008,34.7771525
-82.4935709,34.7909923
-82.4880386,34.7823424
-80.1750355,33.0265903
-82.122692,34.952863
-80.7890841,34.7183822
-82.5486368,34.727099
-82.07447719999999,34.8909105
-81.03097389999999,34.0292442
-81.0308754,34.0272862
-82.4142459,34.8184945
-82.2063014,34.6789469
-81.9316623,34.9330343
-81.6392485,35.0858192
-81.95133969999999,34.9299167
-82.03839719999999,34.7424836
-81.9231015,34.9588511
-80.6713035,32.9211019
-81.02185030000001,34.009074700000014
-81.6618852,33.8411713
-80.9856033,32.4968948
-80.951742,34.2986805
-79.8233274,33.65882089999999
-79.26979949999999,33.3665414
-81.02929619999999,33.3079744
-80.41529849999999,33.337077
-81.056614,34.936388
-80.989336,34.9800876
-80.95389569999999,35.0616187
-82.2352737,34.9465497
-80.1404139,32.9358378
-80.0377808,32.8122554
-81.712373,33.573141
-80.713594,32.2253789
-81.769008,34.0228939
-81.7789403,34.0068278
-80.36743849999999,33.9439608
-80.68802579999999,34.2249318
-80.25940399999999,34.459685
-80.3889566,34.6501547
-80.5835298,34.5476334
-81.0327873,34.0306006
-81.1877681,34.1056661
-81.1642413,34.0136901
-80.8833757,34.1410002
-81.10422109999999,34.0024831
-79.85255409999999,32.8171561
-80.4864764,33.4751634
-81.1081764,34.0530052
-81.11929959999999,34.069976
-81.63313380000001,34.7588622
-80.2882036,33.0894325
-81.8804688,34.9101615
-81.1026222,34.0583544
-80.8686041,32.2713037
-80.6901379,32.4148056
-78.9020944,34.0579951
-78.6900845,33.8887118
-80.107168,33.0447652
-79.8937606,32.80606840000001
-80.7136843,32.2228074
-80.7136843,32.2228074
-80.8584703,32.2418111
-80.05888399999999,32.7301247
-81.7411857,33.9924636
-82.15677029999999,34.1759027
-82.9889108,34.6875902
-80.5933651,34.25323789999999
-80.57948929999999,34.5485797
-80.85809909999999,33.5235124
-82.17630679999999,34.160936
-82.1590339,34.1727512
-80.9878902,35.04212589999999
-80.93886400000001,34.139567
-80.9486647,34.1154171
-80.856606,33.5235548
-78.897283,34.057191
-80.9640739,33.9821068
-81.23268329999999,34.0047848
-81.5275394,33.917578
-81.7382631,33.5129959
-81.23101489999999,33.9228617
-81.9368155,34.9677155
-81.93939759999999,34.966283
-80.053885,33.010401
-80.5753589,33.1889754
-80.5754918,32.3878238
-79.2944964,33.376834
-79.2874171,33.3762359
-80.5760006,33.1857339
-79.55781209999999,33.4606519
-79.51140339999999,33.0820925
-79.8481879,32.8122783
-80.7912672,33.6600822
-81.0437559,34.0459402
-80.17291349999999,33.02556
-80.1721853,33.0261771
-80.15623110000001,32.9638008
-80.1568202,32.9650561
-80.33671269999999,33.9219563
